Deposit Date,1st receipt#,last receipt#, total deposit ,# receipts,VOID,Number of Visitors,Inspection Stops,Inspection Requests
11/28/2011,237968,237991,"$14,973.75 ",24,,10,,
11/29/2011,237992,238001,"$8,681.46 ",10,,11,,
11/30/2011,238002,238019,"$5,859.09 ",18,1,10,,
12/1/2011,238020,238039,"$11,429.75 ",20,,11,,
12/2/2011,238040,238061,"$13,698.46 ",22,,19,,
12/5/2011,238062,238091,"$47,376.88 ",30,,12,,
12/6/2011,238092,238121,"$30,185.73 ",30,,20,,
12/7/2011,238122,238144,"$80,322.36 ",23,,,,
12/8/2011,238145,238165,"$9,325.85 ",21,,9,,
12/9/2011,238166,238191,"$299,986.29 ",26,,,,
12/12/2011,238192,238207,"$20,944.60 ",16,1,18,,
12/13/2011,238208,238226,"$7,807.78 ",19,1,19,,
12/14/2011,238227,238249,"$11,080.13 ",23,,29,,
12/15/2011,238250,238266,"$15,720.30 ",17,,,,
12/16/2011,238267,238287,"$48,976.98 ",21,,16,,
12/19/2011,238288,238309,"$40,441.96 ",22,,,,
12/20/2011,238310,238322,"$9,518.83 ",13,,29,,
12/21/2011,238323,238340,"$11,579.41 ",18,,19,,
12/22/2011,238341,238369,"$20,062.71 ",29,,,,
12/23/2011,238370,238394,"$18,237.29 ",25,,18,,
1/4/2012,238395,238419,"$16,968.85 ",25,,33,,
1/5/2012,238420,238462,"$18,949.41 ",43,,18,,
1/6/2012,238463,238487,"$23,563.47 ",25,,13,,
1/9/2012,238488,238502,"$55,712.93 ",15,,11,,
1/10/2012,238503,238523,"$21,607.89 ",21,,15,,
1/11/2012,238524,238552,"$7,994.86 ",29,,17,,
1/12/2012,238553,238565,"$117,593.47 ",13,,18,,
1/13/2012,238566,238587,"$9,122.09 ",22,,5,,
1/17/2012,238588,238610,"$65,052.34 ",23,,15,,
1/18/2012,238611,238626,"$7,486.29 ",16,,25,,
1/19/2012,238627,238641,"$14,720.02 ",15,,16,,
1/20/2012,238642,238655,"$6,452.70 ",14,,6,,
1/23/2012,238656,238674,"$9,028.95 ",19,,17,,
1/24/2012,238675,238690,"$13,200.69 ",16,1,8,,
1/25/2012,238691,238706,"$32,672.60 ",16,,9,,
1/26/2012,238707,238717,"$23,301.08 ",11,,19,,
1/27/2012,238718,238730,"$30,988.73 ",13,,16,,
1/30/2012,238731,238750,"$14,134.55 ",20,,13,,
1/31/2012,238751,238769,"$16,605.12 ",19,,13,,
2/1/2012,238770,238797,"$25,980.32 ",28,,11,,
2/2/2012,238798,238813,,16,,11,,
2/3/2012,238814,238828,"$8,169.69 ",15,,12,,
2/6/2012,,,,1,,19,,
2/7/2012,,,,1,,8,,
2/8/2012,238861,238879,"$11,198.00 ",19,,20,,
2/9/2012,238880,238896,"$6,332.04 ",17,,19,,
2/10/2012,238897,238915,"$31,722.21 ",19,1,13,,
2/13/2012,238916,238937,"$21,609.51 ",22,1,18,,
2/14/2012,238938,238954,"$30,527.75 ",17,,14,,
2/15/2012,238955,238975,"$21,890.70 ",21,,33,,
2/16/2012,238976,238993,,18,,19,,
2/17/2012,238994,239009,"$62,977.95 ",16,,19,,
2/21/2012,,,,1,,17,,
2/22/2012,239035,239058,"$34,741.22 ",24,,9,,
2/23/2012,239059,239086,"$31,209.50 ",28,,13,,
2/24/2012,239087,239107,"$9,928.27 ",21,,14,,
2/27/2012,239108,239130,"$8,462.77 ",23,,14,,
2/28/2012,239131,239146,"$3,593.84 ",16,1,6,,
2/29/2012,239147,239174,"$29,084.06 ",28,1,24,,
3/1/2012,239175,239188,"$6,223.02 ",14,,24,,
3/3/2012,239187,239207,"$15,732.29 ",21,,18,,
3/5/2012,239208,239221,"$11,181.44 ",14,,14,,
3/6/2012,239222,239248,"$46,365.30 ",27,,17,,
3/7/2012,239249,239272,"$10,216.50 ",24,,16,,
3/8/2012,239273,239297,"$22,896.47 ",25,,12,,
3/9/2012,239298,239319,"$343,818.52 ",22,,20,,
3/12/2012,239320,239335,"$6,573.61 ",16,,14,,
3/13/2012,239336,239357,"$12,725.50 ",22,,6,,
3/14/2012,239358,239381,"$11,802.89 ",24,1,19,,
3/15/2012,239382,239399,,18,,13,,
3/16/2012,239400,239414,,15,,9,,
3/19/2012,239415,239432,"$13,268.76 ",18,,16,,
3/20/2012,239433,239455,"$21,300.03 ",23,,23,,
3/21/2012,239456,239472,,17,,9,,
3/22/2012,239473,239489,"$6,053.97 ",17,,11,,
3/23/2012,239490,239504,"$4,035.06 ",15,,10,,
3/26/2012,239505,239533,"$18,959.38 ",29,,24,,
3/27/2012,239534,239550,"$10,224.87 ",17,,20,,
3/28/2012,239551,239569,"$64,179.33 ",19,,9,,
3/29/2012,239570,239584,,15,,13,,
3/30/2012,239585,239599,,15,,9,,
4/2/2012,239600,239616,"$8,650.46 ",17,,20,,
4/3/2012,239617,239644,"$8,706.59 ",28,,20,,
4/4/2012,239645,239659,"$11,236.04 ",15,,15,,
4/5/2012,239660,239674,"$9,199.48 ",15,,12,,
4/6/2012,239675,239690,"$11,508.16 ",16,,12,,
4/9/2012,239691,239704,"$3,809.63 ",14,,16,,
4/10/2012,239705,239724,"$10,047.98 ",20,,18,,
4/11/2012,239725,239743,"$10,580.23 ",19,,11,,
4/12/2012,239744,239760,"$16,368.44 ",17,,9,,
4/13/2012,239761,239783,"$14,323.70 ",23,,11,,
4/16/2012,239784,239805,"$21,484.01 ",22,,15,,
4/17/2012,239806,239832,"$49,334.25 ",27,1,17,,
4/18/2012,239833,239850,"$19,097.65 ",18,,22,,
4/19/2012,239851,239868,"$16,578.78 ",18,,12,,
4/20/2012,239869,239883,"$16,320.19 ",15,,19,,
4/23/2012,239884,239904,"$9,048.05 ",21,,20,,
4/24/2012,239905,239917,"$8,449.33 ",13,,20,,
4/25/2012,239918,239934,"$19,214.32 ",17,,13,,
4/26/2012,239935,239954,"$14,024.47 ",20,,30,,
4/27/2012,239955,239966,"$12,989.69 ",12,,28,,
4/30/2012,239967,239998,"$23,278.07 ",32,,38,,
5/1/2012,239999,240018,"$42,442.29 ",20,,16,,
5/2/2012,240019,240034,"$26,846.07 ",16,,26,,
5/3/2012,240035,240056,"$9,420.57 ",22,,31,,
5/4/2012,240057,240069,"$6,170.39 ",13,,28,,
5/7/2012,240070,240083,"$10,000.33 ",14,,23,,
5/8/2012,240084,240109,"$14,068.20 ",26,,35,,
5/9/2012,240110,240129,"$8,668.57 ",20,,22,,
5/10/2012,240130,240149,"$18,236.27 ",20,,21,,
5/11/2012,240150,240175,"$79,358.59 ",26,,33,,
5/14/2012,240176,240206,"$115,237.87 ",31,,36,,
5/15/2012,240207,240226,"$68,611.65 ",20,,33,,
5/16/2012,240227,240244,"$21,693.12 ",18,,26,,
5/17/2012,240245,240261,"$24,715.73 ",17,,27,,
5/18/2012,240262,240275,"$6,898.24 ",14,,26,,
5/21/2012,240276,240294,"$10,266.86 ",19,,30,,
5/22/2012,240295,240316,"$162,279.04 ",22,,35,,
5/24/2012,240317,240345,"$5,511.48 ",29,,33,,
5/25/2012,240346,240362,"$52,459.30 ",17,,22,,
5/28/2012,Memorial Day,,,#VALUE!,,,,
5/29/2012,240363,240391,"$17,537.58 ",29,,46,,
5/30/2012,240392,240418,"$78,136.08 ",27,,43,,
5/31/2012,240419,240439,"$12,723.68 ",21,,37,,
6/1/2012,240440,240453,"$7,999.72 ",14,,23,,
6/4/2012,240454,240486,"$17,281.31 ",33,,40,,
6/5/2012,240487,240506,"$9,409.34 ",20,,22,,
6/6/2012,240507,240519,"$72,675.36 ",13,,23,,
6/7/2012,240520,240531,"$18,104.06 ",12,,33,,
6/8/2012,240532,240554,"$19,925.97 ",23,,22,,
6/11/2012,240555,240578,"$24,441.68 ",24,,37,,
6/12/2012,240579,240605,"$17,719.98 ",27,,36,,
6/13/2012,240606,240616,"$12,537.67 ",11,,25,,
6/14/2012,240617,240648,"$40,604.25 ",32,,42,,
6/15/2012,240649,240665,"$11,002.91 ",17,,33,,
6/18/2012,240666,240694,"$2,729.20 ",29,,42,,
6/19/2012,240695,240716,"$216,224.71 ",22,,39,,
6/20/2012,240717,240745,"$15,473.00 ",29,,39,,
6/21/2012,240746,240760,"$5,434.89 ",15,,30,,
6/22/2012,240761,240777,"$20,848.97 ",17,,28,,
6/25/2012,240778,240804,"$47,044.12 ",27,,43,,
6/26/2012,240805,240819,"$6,462.02 ",15,,23,,
6/27/2012,240820,240840,"$55,417.39 ",21,,50,,
6/28/2012,240841,240861,"$13,681.19 ",21,,38,,
6/29/2012,240862,240887,"$193,077.21 ",26,,27,,
7/2/2012,240888,240906,"$10,125.75 ",19,,37,,
7/3/2012,240907,240924,"$14,902.11 ",18,,24,,
7/5/2012,240925,240946,"$27,927.23 ",22,,28,,
7/6/2012,240947,240971,"$14,450.65 ",25,,34,,
7/9/2012,240972,240996,"$19,345.52 ",25,,40,,
7/10/2012,240997,241022,"$14,415.47 ",26,,34,,
7/11/2012,241023,241049,"$43,219.97 ",27,,29,,
7/12/2012,241050,241074,"$9,876.69 ",25,,38,,
7/13/2012,241075,241103,"$28,590.07 ",29,,39,,
7/16/2012,241104,241122,"$18,491.54 ",19,,30,,
7/17/2012,241123,241155,"$29,772.55 ",33,2,31,,
7/18/2012,241156,241179,"$23,662.10 ",24,,31,,
7/19/2012,241180,241192,"$6,357.01 ",13,,37,,
7/20/2012,241193,241213,"$52,235.72 ",21,,30,,
7/23/2012,241214,241232,"$13,670.42 ",19,,30,,
7/24/2012,241233,241253,"$232,110.02 ",21,,31,,
7/25/2012,241254,241271,"$51,527.72 ",18,,28,,
7/26/2012,241272,241295,"$15,679.87 ",24,,48,,
7/27/2012,241296,241313,,18,,20,,
7/30/2012,241314,241335,,22,,39,,
7/31/2012,241336,241366,,31,,26,,
8/1/2012,241367,241393,,27,,25,,
8/2/2012,241394,241427,,34,,30,,
8/3/2012,241428,241456,,29,,26,,
8/6/2012,241460,241483,,24,,33,,
