Deposit Date,1st receipt#,last receipt#, total deposit ,# receipts,VOID,Number of Visitors,Inspection Stops,Inspection Requests
5/9/2013,245939,245967,"$22,241.52 ",29,,49,,
5/10/2013,N/A,,,#VALUE!,,CLOSED ,,
5/13/2013,245968,246013,"$37,752.66 ",46,,55,,
5/14/2013,246014,246030,"$11,136.44 ",17,,43,,
5/15/2013,246031,246058,"$22,648.17 ",28,,60,,
5/16/2013,246059,246097,        $17.090.78 ,39,,64,,
5/17/2013,246098,246098,$0.00 ,1,,CLOSED,,
5/20/2013,246099,246121,"$20,027.17 ",23,,51,,
5/21/2013,246122,246144,"$25,880.93 ",23,,37,,
5/22/2013,246145,246160,"$14,466.08 ",16,,36,,
5/23/2013,246161,246197,"$33,938.33 ",37,,81,,
5/24/2013,246198,246199,$494.41 ,2,,CLOSED ,,
5/27/2013,,,,1,,Holiday,,
5/28/2013,246200,246230,"$20,989.07 ",31,,58,,
5/29/2013,246231,246248,"$21,243.60 ",18,,47,,
5/30/2013,246249,246273,"$34,181.02 ",25,,32,,
5/31/2013,246274,246274,"$1,214.30 ",1,,CLOSED,,
6/3/2013,246275,246304,"$50,596.29 ",30,,43,,
6/4/2013,246305,246330,"$187,173.38 ",26,,48,,
6/5/2013,246331,246360,"$20,865.78 ",30,,52,,
6/6/2013,246361,246386,"$23,328.98 ",26,,69,,
6/7/2013,n/a,n/a,,#VALUE!,,CLOSED,,
6/10/2013,246387,246422,"$30,913.92 ",36,,70,,
6/11/2013,246423,246447,"$37,786.65 ",25,,37,,
6/12/2013,246448,246467,"$57,643.87 ",20,,36,,
6/13/2013,246470,246492,"$22,189.37 ",23,,47,,
6/14/2013,246493,246497,"$100,993.78 ",5,,CLOSED,,
6/17/2013,246498,246524,"$54,424.33 ",27,,51,,
6/18/2013,246525,246559,"$93,652.52 ",35,,51,,
6/19/2013,246560,246580,"$5,123.44 ",21,,44,,
6/20/2013,246581,246610,"$24,134.30 ",30,,63,,
6/21/2013,246611,246615,"$8,914.92 ",5,,CLOSED,,
6/24/2013,246616,246644,"$107,555.47 ",29,,62,,
6/25/2013,246645,246674,"$66,618.10 ",30,,45,,
6/26/2013,246675,246684,"$13,580.85 ",10,,32,,
6/27/2013,246685,246717,"$66,516.73 ",33,,63,,
6/28/2013,246719,246722,"$19,014.29 ",4,,CLOSED,,
7/1/2013,246723,246760,"$66,704.73 ",38,,52,,
7/2/2013,246761,246800,"$32,499.33 ",40,,46,,
7/3/2013,246801,246829,"$54,449.77 ",29,,44,,
7/4/2013,CLOSED,,,#VALUE!,,CLOSED,,
7/5/2013,246830,246830,$256.06 ,1,,CLOSED,,
7/8/2013,246831,246860,"$19,087.88 ",30,,55,,
7/9/2013,246861,246905,"$62,778.47 ",45,,55,,
7/10/2013,246906,246929,"$12,433.14 ",24,,39,,
7/11/2013,246930,246949,"$35,508.01 ",20,,35,,
7/12/2013,246950,246951,"$21,240.36 ",2,,CLOSED,,
7/15/2013,246952,246981,"$43,210.44 ",30,,52,,
7/16/2013,246982,247013,"$29,942.91 ",32,,32,,
7/17/2013,247014,247059,"$111,745.83 ",46,,52,,
7/18/2013,247060,247082,"$32,003.07 ",23,,57,,
7/19/2013,247084,247086,"$22,850.00 ",3,,CLOSED,,
7/22/2013,247087,247116,"$89,891.26 ",30,,58,,
7/23/2013,247117,247140,"$41,058.48 ",24,,54,,
7/24/2013,247141,247162,"$17,593.76 ",22,,44,,
7/25/2013,247163,247192,"$19,621.11 ",30,,43,,
7/26/2013,247193,247194,$386.69 ,2,,CLOSED,,
7/29/2013,247195,247219,"$11,127.81 ",25,,33,,
7/30/2013,247220,247255,"$15,304.09 ",36,,38,,
7/31/2013,247256,247287,"$16,285.64 ",32,,51,,
8/1/2013,247288,247312,"$34,315.36 ",25,,39,,
8/2/2013,247313,247329,"$1,136.40 ",17,,CLOSED,,
8/5/2013,247330,247366,"$64,308.04 ",37,,52,,
8/6/2013,247367,247398,"$18,582.51 ",32,,35,,
8/7/2013,247399,247415,"$15,208.79 ",17,,45,,
8/8/2013,247416,247442,"$21,960.82 ",27,,50,,
8/9/2013,247443,247452,"$10,561.04 ",10,,CLOSED,,
8/12/2013,247453,247492,"$31,530.99 ",40,,70,,
8/13/2013,247493,247541,"$167,073.61 ",49,,56,,
8/14/2013,247542,247563,"$26,075.90 ",22,,40,,
8/15/2013,247564,247607,"$253,736.50 ",44,,60,,
8/16/2013,247608,247608,"$3,179.00 ",1,,CLOSED,,
8/19/2013,247609,247641,"$31,755.77 ",33,,64,,
8/20/2013,247642,247668,"$22,387.50 ",27,,41,,
8/21/2013,247669,247696,"$17,340.08 ",28,,44,,
8/22/2013,247697,247733,"$57,298.23 ",37,,60,,
8/23/2013,247734,247735,$150.00 ,2,,CLOSED,,
8/26/2013,247736,247788,"$18,531.61 ",53,,62,,
8/27/2013,247789,247826,"$23,430.22 ",38,,57,,
8/28/2013,247827,247850,"$23,809.99 ",24,,60,,
8/29/2013,247851,247885,"$23,351.19 ",35,,65,,
8/30/2013,247886,247889,$968.83 ,4,,CLOSED,,
9/2/2013,,,,1,,CLOSED,,
9/3/2013,247890,247919,"$256,287.83 ",30,,65,,
9/4/2013,247920,247964,"$19,989.59 ",45,,55,,
9/5/2013,247965,248012,"$45,092.50 ",48,,56,,
9/6/2013,248013,248017,"$1,374.71 ",5,,CLOSED,,
9/9/2013,248018,248078,"$46,773.96 ",61,,61,,
9/10/2013,248079,248111,"$16,080.09 ",33,,49,,
9/11/2013,248112,248138,"$25,643.87 ",27,,51,,
9/12/2013,248139,248179,"$98,674.90 ",41,,52,,
9/13/2013,248180,248184,"$2,060.21 ",5,,CLOSED,,
9/16/2013,248185,248226,"$38,231.93 ",42,,59,,
9/17/2013,248227,248263,"$20,043.52 ",37,,64,,
9/18/2013,248264,248281,"$10,841.10 ",18,,37,,
9/19/2013,248282,248316,"$42,865.84 ",35,,57,,
9/20/2013,248317,248321,"$1,085.71 ",5,,CLOSED,,
9/23/2013,248322,248352,"$20,749.21 ",31,,60,,
9/24/2013,248353,248394,"$24,986.58 ",42,,57,,
9/25/2013,248395,248419,"$19,764.33 ",25,,51,,
9/26/2013,248420,248446,"$47,446.17 ",27,,45,,
9/27/2013,248447,248448,$150.00 ,2,,CLOSED,,
9/30/2013,248449,248486,"$57,480.22 ",38,,72,,
10/1/2013,248487,248517,"$12,071.46 ",31,,40,,
10/2/2013,248518,248555,"$30,524.55 ",38,,46,,
10/3/2013,248556,248602,"$44,416.05 ",47,,43,,
10/4/2013,248603,248605,"$8,486.84 ",3,,CLOSED,,
10/7/2013,248606,248647,"$43,849.62 ",42,,82,,
10/8/2013,248648,248689,"$33,904.45 ",42,,41,,
10/9/2013,248690,248715,"$35,021.65 ",26,,43,,
10/10/2013,248716,248764,"$131,717.40 ",49,,70,,
10/11/2013,248765,248768,"$2,763.94 ",4,,CLOSED,,
10/14/2013,248769,248805,"$68,125.82 ",37,,58,,
10/15/2013,248806,248836,"$53,115.90 ",31,,62,,
10/16/2013,248837,248871,"$27,126.25 ",35,,58,,
10/17/2013,248872,248913,"$64,727.03 ",42,,65,,
10/18/2013,248914,248918,"$28,332.30 ",5,,CLOSED,,
10/21/2013,248919,248954,"$23,085.49 ",36,,59,,
10/22/2013,248955,248989,"$21,026.99 ",35,,50,,
10/23/2013,248990,249016,"$23,904.80 ",27,,43,,
10/24/2013,249017,249057,"$43,514.21 ",41,,56,,
10/25/2013,249058,249065,"$1,541.67 ",8,,CLOSED,,
10/28/2013,249066,249102,"$57,019.49 ",37,,49,,
10/29/2013,249103,249132,"$10,038.31 ",30,,67,,
10/30/2013,249133,249151,"$19,280.48 ",19,,37,,
10/31/2013,249152,249188,"$39,582.84 ",37,,48,,
11/1/2013,249189,249196,"$43,049.61 ",8,,CLOSED,,
11/4/2013,249197,249232,"$1,473,807.59 ",36,,55,,
11/5/2013,249233,249256,"$41,052.24 ",24,,37,,
11/6/2013,249257,249285,"$40,066.76 ",29,,47,,
11/7/2013,249286,249320,"$28,384.33 ",35,,44,,
11/8/2013,249321,249323,"$11,499.54 ",3,,CLOSED,,
11/11/2013,,,,1,,CLOSED/HOLIDAY,,
11/12/2013,249324,249368,"$108,662.06 ",45,,79,,
11/13/2013,249369,249415,"$43,401.41 ",47,,35,,
11/14/2013,249416,249444,"$20,757.81 ",29,,52,,
11/15/2013,249445,249445,$38.22 ,1,,CLOSED,,
11/18/2013,249446,249478,"$32,162.03 ",33,,65,,
11/19/2013,249479,249505,"$22,395.00 ",27,,63,,
11/20/2013,249506,249531,"$16,552.18 ",26,,51,,
11/21/2013,249532,249559,"$16,247.12 ",28,,62,,
11/22/2013,249560,249561,$435.75 ,2,,CLOSED,,
11/25/2013,249562,249604,"$312,816.77 ",43,,79,,
11/26/2013,249605,249645,"$62,483.49 ",41,,62,,
11/27/2013,249646,249660,"$8,694.97 ",15,,41,,
11/28/2013,,,,1,,CLOSED,,
11/29/2013,,,,1,,CLOSED,,
12/2/2013,249661,249696,"$39,951.15 ",36,,47,,
12/3/2013,249697,249733,"$80,904.29 ",37,,53,,
12/4/2013,249734,249754,"$53,344.71 ",21,,49,,
12/5/2013,249755,249788,"$205,360.97 ",34,,65,,
12/6/2013,,,,1,,CLOSED,,
12/9/2013,249789,249840,"$79,464.39 ",52,,54,,
12/10/2013,249842,249871,"$64,670.26 ",30,,51,,
12/11/2013,249872,249901,"$338,415.36 ",30,,39,,
12/12/2013,249902,249921,"$27,273.03 ",20,,38,,
12/13/2013,249922,249925,"$8,123.46 ",4,,CLOSED,,
12/16/2013,249926,249963,"$25,638.18 ",38,,62,,
12/17/2013,249964,249993,"$31,607.12 ",30,,43,,
12/18/2013,249994,250014,"$33,353.10 ",21,,51,,
12/19/2013,250015,250042,"$1,400,829.06 ",28,,67,,
12/20/2013,250043,250047,"$42,944.06 ",5,,CLOSED,,
12/23/2013,250048,250094,"$280,845.31 ",47,,63,,
12/24/2013,,,,1,,CLOSED,,
12/25/2013,,,,1,,CLOSED,,
12/26/2013,,,,1,,CLOSED,,
12/27/2013,,,,1,,CLOSED,,
12/30/2013,,,,1,,CLOSED,,
12/31/2013,,,,1,,CLOSED,,
1/2/2014,250095,250132,"$23,210.01 ",38,,59,,
1/3/2014,250133,250157,"$153,739.31 ",25,,CLOSED,,
1/6/2014,250158,250194,"$28,750.88 ",37,,71,,
1/7/2014,250195,250256,"$33,046.63 ",62,,49,,
1/8/2014,250257,250287,"$87,894.38 ",31,,47,,
1/9/2014,250288,250314,"$332,619.97 ",27,,63,,
1/10/2014,250315,250320,$637.36 ,6,,CLOSED,,
1/13/2014,250321,250363,"$62,245.77 ",43,,53,,
1/14/2014,250364,250387,"$198,532.76 ",24,,48,,
1/15/2014,250388,250413,"$27,441.74 ",26,,49,,
1/16/2014,250414,250439,"$39,669.15 ",26,,65,,
1/17/2014,250440,250449,"$2,688.64 ",10,,CLOSED,,
1/20/2014,,,,1,,CLOSED,,
1/21/2014,250450,250486,"$19,006.93 ",37,,82,,
1/22/2014,250487,250520,"$35,193.52 ",34,,43,,
1/23/2014,250521,250560,"$370,045.45 ",40,,69,,
1/24/2014,250561,250561,"$1,080.00 ",1,,CLOSED,,
1/27/2014,250562,250599,"$57,311.79 ",38,,69,,
1/28/2014,250600,250634,"$45,911.33 ",35,,50,,
1/29/2014,250635,250660,"$189,709.58 ",26,,53,,
1/30/2014,250661,250692,"$130,125.18 ",32,,42,,
1/31/2014,250693,250703,"$31,077.98 ",11,,CLOSED,,
2/3/2014,250704,250726,"$64,853.07 ",23,,46,,
2/4/2014,250727,250761,"$45,927.67 ",35,,69,,
2/5/2014,250762,250787,"$22,420.15 ",26,,60,,
2/6/2014,250788,250820,"$46,529.82 ",33,,70,,
2/7/2014,250821,250824,"$1,051.32 ",4,,CLOSED,,
2/10/2014,250826,250862,"$17,895.26 ",37,,65,,
2/11/2014,250863,250890,"$20,488.97 ",28,,44,,
2/12/2014,250891,250909,"$420,669.09 ",19,,47,,
2/13/2014,250910,250947,"$68,182.93 ",38,,67,,
2/14/2014,,,,1,,CLOSED,,
2/17/2014,,,,1,,CLOSED,,
2/18/2014,250948,250985,"$30,632.76 ",38,,85,,
2/19/2014,250986,251025,"$33,073.95 ",40,,68,,
2/20/2014,251026,251060,"$46,232.15 ",35,,73,,
2/21/2014,251061,251062,"$10,018.00 ",2,,CLOSED,,
2/24/2014,251063,251102,"$38,210.74 ",40,,86,,
2/25/2014,251103,251134,"$459,651.48 ",32,,48,,
2/26/2014,251135,251160,"$27,257.90 ",26,,51,,
2/27/2014,251161,251185,"$268,256.64 ",25,,58,,
2/28/2014,251186,251187,$499.46 ,2,,CLOSED,,
3/3/2014,251188,251226,"$132,514.92 ",39,,65,,
3/4/2014,251227,251251,"$17,134.90 ",25,,49,,
3/5/2014,251252,251273,"$100,577.35 ",22,,33,,
3/6/2014,251274,251312,"$40,485.67 ",39,,48,,
3/7/2014,251313,251321,"$11,008.21 ",9,,CLOSED,,
3/10/2014,251322,251358,"$24,082.84 ",37,,71,,
3/11/2014,251359,251380,"$14,189.03 ",22,,44,,
3/12/2014,251381,251409,"$25,010.90 ",29,,48,,
3/13/2014,251410,251434,"$20,760.53 ",25,,51,,
3/14/2014,,,,1,,CLOSED,,
3/17/2014,251435,251467,"$21,198.85 ",33,,57,,
3/18/2014,251468,251489,"$50,425.52 ",22,,50,,
3/19/2014,251490,251513,"$49,060.41 ",24,,47,,
3/20/2014,251514,251554,"$122,293.30 ",41,,61,,
3/21/2014,251555,251560,"$12,930.00 ",6,,CLOSED,,
3/24/2014,251561,251599,"$43,878.72 ",39,,76,,
3/25/2014,251600,251635,"$31,569.55 ",36,,61,,
3/26/2014,251636,251661,"$43,617.94 ",26,,57,,
3/27/2014,251662,251689,"$21,168.40 ",28,,66,,
3/28/2014,251690,251691,$105.00 ,2,,CLOSED,,
3/31/2014,251692,251732,"$31,835.29 ",41,,65,,
4/1/2014,251733,251754,"$65,729.12 ",22,,47,,
4/2/2014,251755,251780,"$29,397.07 ",26,,53,,
4/3/2014,251781,251803,"$1,110,487.92 ",23,,65,,
4/4/2014,251804,251805,"$53,440.82 ",2,,CLOSED,,
4/7/2014,251806,251843,"$53,440.82 ",38,,73,,
4/8/2014,251844,251870,"$16,657.79 ",27,,50,,
4/9/2014,251871,251887,"$11,843.37 ",17,,43,,
4/10/2014,251888,251915,"$476,031.65 ",28,,53,,
4/11/2014,251916,251916,$180.00 ,1,,CLOSED,,
4/14/2014,251917,251950,"$65,322.34 ",34,,68,,
4/15/2014,251951,251983,"$73,192.17 ",33,,52,,
4/16/2014,251984,252025,"$200,545.82 ",42,,60,,
4/17/2014,252026,252054,"$28,784.27 ",29,,53,,
4/18/2014,252055,252056,$305.00 ,2,,CLOSED,,
4/21/2014,252057,252090,"$19,275.13 ",34,,79,,
4/22/2014,252091,252117,"$25,771.54 ",27,,43,,
4/23/2014,252118,252141,"$1,690,649.39 ",24,,36,,
4/24/2014,252142,252162,"$14,337.21 ",21,,49,,
4/25/2014,252163,252165,"$6,105.62 ",3,,CLOSED,,
4/28/2014,252166,252199,"$51,594.13 ",34,,71,,
4/29/2014,252200,252238,"$45,488.70 ",39,,44,,
4/30/2014,252239,252257,"$11,669.93 ",19,,67,,
5/1/2014,252258,252289,"$32,533.73 ",32,,44,,
5/2/2014,252290,252292,"$5,307.77 ",3,,CLOSED,,
5/5/2014,252293,252324,"$41,888.71 ",32,,66,,
5/6/2014,252325,252349,"$44,108.95 ",25,,48,,
5/7/2014,252350,252376,"$92,327.04 ",27,,49,,
5/8/2014,252377,252408,"$152,969.29 ",32,,47,,
5/9/2014,252409,252410,$411.06 ,2,,CLOSED,,
5/12/2014,252411,252450,"$69,116.10 ",40,,64,,
5/13/2014,252451,252477,"$30,945.47 ",27,,64,,
5/14/2014,252478,252499,"$22,242.86 ",22,,47,,
5/15/2014,252500,252526,"$27,291.83 ",27,,68,,
5/16/2014,252527,252530,"$1,750.67 ",4,,CLOSED,,
5/19/2014,252531,252559,"$23,991.22 ",29,,74,,
5/20/2014,252560,252591,"$20,791.26 ",32,,68,,
5/21/2014,252592,252623,"$1,146,421.41 ",32,,53,,
5/22/2014,252624,252651,"$42,999.55 ",28,,63,,
5/23/2014,252652,252654,$767.95 ,3,,CLOSED,,
5/26/2014,,,,1,,CLOSED,,
5/27/2014,252655,252691,"$32,323.21 ",37,,72,,
5/28/2014,252692,252722,"$23,588.32 ",31,,61,,
5/29/2014,252723,252750,"$48,038.00 ",28,,55,,
5/30/2014,252751,252753,$673.52 ,3,,CLOSED,,
6/2/2014,252754,252783,"$26,428.88 ",30,,74,,
6/3/2014,252784,252807,"$13,144.33 ",24,,51,,
6/14/2014,252808,252842,"$26,847.83 ",35,,53,,
6/5/2014,252843,252865,"$20,157.68 ",23,,59,,
6/6/2014,252866,252867,$333.74 ,2,,CLOSED,,
6/9/2014,252868,252901,"$34,036.60 ",34,,70,,
6/10/2014,252902,252928,"$21,213.82 ",27,,48,,
6/11/2014,252929,252956,"$1,413,807.81 ",28,,56,,
6/12/2014,252957,253003,"$111,288.90 ",47,,56,,
6/13/2014,253004,253008,"$1,068.90 ",5,,CLOSED,,
6/16/2014,253009,253038,"$29,391.42 ",30,,66,,
6/17/2014,253039,253076,"$83,865.59 ",38,,55,,
6/18/2014,253077,253106,"$106,420.55 ",30,,61,,
6/19/2014,253107,253145,"$60,393.14 ",39,,70,,
6/20/2014,253146,253146,$253.97 ,1,,CLOSED,,
6/23/2014,253147,253181,"$39,619.20 ",35,,62,,
6/24/2014,253182,253226,"$94,579.02 ",45,,72,,
6/25/2014,253227,253256,"$24,468.35 ",30,,49,,
6/26/2014,253257,253287,"$68,661.89 ",31,,55,,
6/27/2014,253288,253291,$914.81 ,4,,CLOSED,,
6/30/2014,253292,253350,"$141,457.16 ",59,,85,,
7/1/2014,253351,253373,"$382,221.45 ",23,,41,,
7/2/2014,253374,253392,"$14,150.43 ",19,,42,,
7/3/2014,253393,253422,"$24,429.00 ",30,,43,,
7/4/2014,,,,1,,CLOSED/HOLIDAY ,,
7/7/2014,253423,253448,"$220,230.42 ",26,,43,,
7/8/2014,253449,253474,"$17,026.44 ",26,,64,,
7/9/2014,253475,253507,"$38,136.91 ",33,,46,,
7/10/2014,253508,253540,"$143,041.69 ",33,,55,,
7/11/2014,253541,253547,"$4,178.40 ",7,,CLOSED ,,
7/14/2014,253548,253585,"$35,374.36 ",38,,55,,
7/15/2014,253586,253633,"$50,090.78 ",48,,64,,
7/16/2014,253641,253675,"$62,086.85 ",35,,50,,
7/17/2014,253676,253700,"$73,460.28 ",25,,54,,
7/18/2014,253701,253704,"$7,611.85 ",4,,CLOSED,,
7/21/2014,253705,253738,"$57,236.60 ",34,,59,,
7/22/2014,253739,253766,"$18,308.07 ",28,,45,,
7/23/2014,253767,253788,"$27,645.74 ",22,,43,,
7/24/2014,253789,253813,"$111,592.46 ",25,,51,,
7/25/2014,253814,253814,$75.00 ,1,,CLOSED,,
7/28/2014,253815,253857,"$29,288.40 ",43,,42,,
7/29/2014,253858,253889,"$44,540.27 ",32,,54,,
7/30/2014,253890,253929,"$22,198.83 ",40,,55,,
7/31/2014,253930,253971,"$110,564.41 ",42,,74,,
8/1/2014,253972,253981,"$1,697.67 ",10,,CLOSED,,
8/4/2014,253982,254020,"$17,733.87 ",39,,62,,
8/5/2014,254021,254065,"$20,845.87 ",45,,41,,
8/6/2014,254066,254097,"$63,558.50 ",32,,46,,
8/7/2014,254098,254138,"$15,108.89 ",41,,60,,
8/8/2014,254139,254145,$317.36 ,7,,CLOSED,,
8/11/2014,254146,254184,"$44,193.55 ",39,,65,,
8/12/2014,254185,254222,"$36,879.01 ",38,,63,,
8/13/2014,254223,254247,"$13,319.49 ",25,,56,,
8/14/2014,254248,254284,"$26,742.55 ",37,,66,,
8/15/2014,254285,254304,"$9,947.03 ",20,,CLOSED,,
8/18/2014,254305,254344,"$39,985.75 ",40,,67,,
8/19/2014,254345,254371,"$17,964.59 ",27,,54,,
8/20/2014,254372,254415,"$26,829.79 ",44,,57,,
8/21/2014,254416,254444,"$29,176.60 ",29,,51,,
8/22/2014,254445,254450,"$2,610.56 ",6,,CLOSED,,
8/25/2014,254451,254482,"$480,858.57 ",32,,58,,
8/26/2014,254483,254536,"$32,158.40 ",54,,58,,
8/27/2014,254537,254571,"$29,265.06 ",35,,51,,
8/28/2014,254572,254625,"$34,845.04 ",54,,75,,
8/29/2014,254626,254630,"$1,514.73 ",5,,CLOSED,,
9/1/2014,,,,1,,HOLIDAY/CLOSED,,
9/2/2014,254631,254658,"$54,999.06 ",28,,66,,
9/3/2014,254659,254723,"$52,662.95 ",65,,64,,
9/4/2014,254724,254758,"$21,792.91 ",35,,67,,
9/5/2014,254759,254764,"$61,759.46 ",6,,CLOSED,,
9/8/2014,254765,254817,"$42,829.20 ",53,,83,,
9/9/2014,254818,254856,"$46,724.20 ",39,,43,,
9/10/2014,254857,254885,"$15,195.10 ",29,,39,,
9/11/2014,254886,254939,"$113,827.79 ",54,,76,,
9/12/2014,254940,254942,$308.89 ,3,,CLOSED,,
9/15/2014,254943,254986,"$39,762.46 ",44,,78,,
9/16/2014,254987,255015,"$246,091.32 ",29,,68,,
9/17/2014,255016,255050,"$1,766,986.74 ",35,,100,,
9/18/2014,255051,255085,"$165,376.19 ",35,,70,,
9/19/2014,255086,255091,"$1,923.08 ",6,,CLOSED,,
9/22/2014,255092,255137,"$59,659.28 ",46,,74,,
9/23/2014,255138,255171,"$32,853.85 ",34,,49,,
9/24/2014,255172,255201,"$24,892.42 ",30,,50,,
9/25/2014,255202,255237,"$33,048.57 ",36,,58,,
9/26/2014,255238,255240,$297.00 ,3,,CLOSED,,
9/29/2014,255241,255287,"$116,247.92 ",47,,60,,
9/30/2014,255288,255326,"$28,928.23 ",39,,67,,
10/1/2014,255327,255366,"$92,593.26 ",40,,50,,
10/2/2014,255367,255399,"$1,729,529.94 ",33,,50,,
10/3/2014,255400,255409,"$6,331.75 ",10,,CLOSED,,
10/6/2014,255410,255447,"$42,736.76 ",38,,60,,
10/7/2014,255448,255485,"$57,552.38 ",38,,58,,
10/8/2014,255486,255514,"$29,067.57 ",29,,45,,
10/9/2014,255515,255554,"$85,729.11 ",40,,66,,
10/10/2014,255555,255562,"$1,554.53 ",8,,CLOSED,,
10/13/2014,255563,255604,"$41,063.98 ",42,,66,,
10/14/2014,255605,255628,"$64,460.34 ",24,,45,,
10/15/2014,255629,255646,"$24,681.03 ",18,,42,,
10/16/2014,255647,255685,"$35,249.14 ",39,,73,,
10/17/2014,255686,255694,"$5,841.25 ",9,,CLOSED,,
10/20/2014,255695,255734,"$49,697.55 ",40,,73,,
10/21/2014,255735,255766,"$29,115.08 ",32,,55,,
10/22/2014,255767,255789,"$145,506.10 ",23,,57,,
10/23/2014,255790,255839,"$94,597.63 ",50,,54,,
10/24/2014,255840,255853,"$8,413.70 ",14,,CLOSED,,
10/27/2014,255854,255885,"$38,779.89 ",32,,65,,
10/28/2014,255886,255913,"$34,476.30 ",28,,55,,
10/29/2014,255914,255940,"$19,458.81 ",27,,,,
10/30/2014,255941,255981,"$42,196.45 ",41,,,,
10/31/2014,255982,255985,"$2,245.46 ",4,,CLOSED,,
11/3/2014,255986,256026,"$37,165.90 ",41,,63,,
11/4/2014,256027,256054,"$33,877.34 ",28,,46,,
11/5/2014,256055,256082,"$20,844.94 ",28,,47,,
11/6/2014,256083,256133,"$24,175.50 ",51,,62,,
11/7/2014,256134,256146,"$7,165.24 ",13,,CLOSED,,
11/10/2014,256147,256187,"$31,255.83 ",41,,61,,
11/11/2014,,,,1,,CLOSED,,
11/12/2014,256188,256227,"$70,403.11 ",40,,82,,
11/13/2014,256228,256264,"$61,346.20 ",37,,66,,
11/14/2014,256265,256268,"$2,768.08 ",4,,CLOSED,,
11/17/2014,256269,256302,"$28,026.51 ",34,,74,,
11/18/2014,256303,256329,"$895,314.52 ",27,,62,,
11/19/2014,256330,256363,"$26,361.07 ",34,,64,,
11/20/2014,256364,256401,"$32,709.51 ",38,,54,,
11/21/2014,256402,256403,$429.31 ,2,,CLOSED,,
11/24/2014,256404,256436,"$59,650.40 ",33,,70,,
11/25/2014,256437,256457,"$24,070.35 ",21,,43,,
11/26/2014,256458,256488,"$22,992.64 ",31,,45,,
11/27/2014,,,,1,,CLOSED,,
11/28/2014,,,,1,,CLOSED,,
12/1/2014,256489,256512,"$26,875.45 ",24,,35,,
12/2/2014,256513,256517,"$2,623.62 ",5,,23,,
12/3/2014,256518,256546,"$18,041.75 ",29,,50,,
12/4/2014,256547,256569,"$15,385.60 ",23,,37,,
12/5/2014,256571,256573,$373.93 ,3,,CLOSED,,
12/8/2014,256574,256605,"$42,454.10 ",32,,61,,
12/9/2014,256606,256625,"$13,468.86 ",20,,53,,
12/10/2014,256626,256651,"$17,314.41 ",26,,53,,
12/11/2014,256652,256676,"$62,826.83 ",25,,37,,
12/12/2014,256677,256703,"$4,198.59 ",27,,CLOSED,,
12/15/2014,256704,256737,"$22,806.67 ",34,,35,,
12/16/2014,256738,256776,"$28,638.88 ",39,,62,,
12/17/2014,256777,256789,"$18,344.81 ",13,,35,,
12/18/2014,256790,256821,"$96,871.39 ",32,,60,,
12/19/2014,256822,256835,"$266,892.06 ",14,,CLOSED,,
12/22/2014,256836,256865,"$144,336.14 ",30,,47,,
12/23/2014,256866,256896,"$144,188.94 ",31,,49,,
12/24/2014,,,,1,,CLOSED,,
12/25/2014,,,,1,,CLOSED,,
12/26/2014,,,,1,,CLOSED,,
12/29/2014,,,,1,,CLOSED,,
12/30/2014,,,,1,,CLOSED,,
12/31/2014,,,,1,,CLOSED,,
1/1/2015,,,,1,,CLOSED,,
1/2/2015,,,,1,,CLOSED,,
1/5/2015,256897,256945,"$46,551.46 ",49,,72,,
1/6/2015,256950,256985,"$35,364.10 ",36,,49,,
1/7/2015,256986,257002,"$19,119.35 ",17,,48,,
1/8/2015,257003,257027,"$17,167.26 ",25,,40,,
1/9/2015,257028,257030,$210.00 ,3,,CLOSED,,
1/12/2015,257031,257070,"$38,129.37 ",40,,69,,
1/13/2015,257071,257096,"$27,631.75 ",26,,42,,
1/14/2015,257097,257125,"$14,926.74 ",29,,59,,
1/15/2015,257126,257155,"$37,868.68 ",30,,51,,
1/16/2015,257156,257162,"$18,879.66 ",7,,CLOSED,,
1/19/2015,,,,1,,CLOSED,,
1/20/2015,257163,257203,"$48,484.28 ",41,,62,,
1/21/2015,257204,257238,"$21,657.06 ",35,,57,,
1/22/2015,257239,257269,"$34,628.18 ",31,,68,,
1/23/2015,257270,257279,"$4,342.79 ",10,,CLOSED,,
1/26/2015,257280,257309,"$80,464.60 ",30,,67,,
1/27/2015,257310,257341,"$26,372.31 ",32,,51,,
1/28/2015,257342,257361,"$26,586.53 ",20,,63,,
1/29/2015,257362,257393,"$20,512.86 ",32,,70,,
1/30/2015,257394,257396,$280.38 ,3,,CLOSED,,
2/2/2015,257397,257424,"$34,104.06 ",28,,64,,
2/3/2015,257425,257450,"$31,231.56 ",26,,59,,
2/4/2015,257451,257476,"$33,890.19 ",26,,55,,
2/5/2015,257477,257515,"$97,042.36 ",39,,82,,
2/6/2015,257516,257516,$75.00 ,1,,CLOSED,,
2/9/2015,257517,257535,"$11,524.37 ",19,,55,,
2/10/2015,257536,257560,"$22,504.79 ",25,,52,,
2/11/2015,257561,257601,"$934,126.88 ",41,,64,,
2/12/2015,257602,257638,"$40,429.72 ",37,,67,,
2/13/2015,257639,257644,"$1,213.22 ",6,,CLOSED,,
2/16/2015,,,,1,,HOLIDAY,,
2/17/2015,257645,257679,"$49,394.82 ",35,,66,,
2/18/2015,257680,257722,"$30,872.04 ",43,,62,,
